,Cart position,Cart velocity,Sway angle $\alpha$,Angular velocity,Sling length,Sling length changing speed
0,0.00851769091151461,0.14359252577370418,-0.0777653636727191,-1.1538878866055622,0.1005,0.009999999999999997
1,0.016214234159185433,0.00993706806066012,-0.07893172593266327,1.136549762586562,0.10196187500000001,0.019237500000000005
2,0.026445834573509727,0.2108686089659078,-0.0318841065310748,-0.4335343790491002,0.10431103203125,0.027745640624999984
3,0.048257224887747426,0.215366446836811,-0.060986563224785934,-0.00481829788121918,0.10747616115136718,0.035556941777343726
4,0.07073870152962508,0.24012243237361514,-0.04389620848640242,0.26484893668735543,0.1113891715959973,0.042703267115258764
5,0.09841066226499319,0.31676341279239506,-0.033825608760689685,-0.10985030187311734,0.11598512459134595,0.049215792791714424
6,0.13118661768074535,0.33706192633120413,-0.038783966377465506,0.03258814637333746,0.1212021632418093,0.05512498021755219
7,0.16610377427907272,0.3640456593663919,-0.030675317458462203,0.09537190638178955,0.12698143988369642,0.06046055262019054
8,0.2043219324453222,0.40236717053025506,-0.02465131774141127,0.0008958892292335596,0.13326704127353514,0.06525147517658383
9,0.24566009350175036,0.42467851290867964,-0.023819530324120063,0.012560577416411894,0.14000591195768944,0.06952593850650168
10,0.2889242464691687,0.44182484679771644,-0.020219200457592228,0.04637192531737369,0.1471477761489931,0.07331134531957181
11,0.33402498025923816,0.46174124644392445,-0.01563364276644779,0.029524336692126146,0.15464505841581566,0.0766343000168791
12,0.38096527694958554,0.47795631700075064,-0.012993700596947884,0.01462602823828224,0.1624528034694205,0.07952060105521783
13,0.4292557922214861,0.48857691809490617,-0.010849783904790293,0.021577170037439544,0.17052859531664843,0.08199523588934096
14,0.4784910393374358,0.49707405255335196,-0.008040002495528512,0.026297023896493577,0.1788324760268517,0.0840823783147242
15,0.5285245697888561,0.504521216968678,-0.0052898150717687244,0.020950914385553687,0.18732686434461035,0.08580538804044854
16,0.5791936755894658,0.5095750829468163,-0.0031628608120143633,0.015869418943914405,0.19597647436307275,0.08718681232879963
17,0.6302319926245877,0.5118003837491208,-0.00134658465572547,0.015793866057544226,0.20474823445676588,0.08824838954506287
18,0.6813923705001753,0.5120281421834509,0.0005070829627198323,0.01673022788331688,0.2136112066574072,0.089011054467764
19,0.7325085099265443,0.5109043980516969,0.0023291588981724023,0.01542955122991114,0.2225365066416077,0.08949494521624654
20,0.7834460496180502,0.5083800381176571,0.003925335411033724,0.012896980400280802,0.23149722448536944,0.08971941165898784
21,0.8340555421462712,0.5042601101605283,0.005273417085604684,0.011146922340160164,0.2404683463269403,0.08970302517242953
22,0.8841809527089688,0.49865098504325206,0.006480545118932854,0.010482517851406855,0.249426677066878,0.08946358962632381
23,0.9336876757431541,0.49186249858523007,0.0076170444054729745,0.009968102962032686,0.2583507642220781,0.08901815347767761
24,0.9824698267102585,0.4841297898698554,0.008665064699816987,0.00896442555017632,0.26722082303902694,0.08838302286129981
25,1.0304373438190884,0.4755255990249808,0.009580988331565348,0.00764171766316734,0.27601866296062827,0.08757377557072665
26,1.0775039521381895,0.46606467695850595,0.010356449148769584,0.006464823955767772,0.28472761553060993,0.08660527582890648
27,1.1235869021541616,0.45581478367632455,0.011019169032526602,0.0056281462530852686,0.29333246380972894,0.08549168975347324
28,1.1686133602674362,0.4449072294902918,0.011599195435167586,0.004986209495701069,0.30181937336873854,0.08424650142671955
29,1.2125242686086752,0.43347947276701226,0.012106335442268142,0.004318993158903418,0.31017582491434936,0.08288252948549713
30,1.255272571849515,0.4216287462740929,0.012534284741864243,0.0035525397198574726,0.31839054859618554,0.08141194415122607
31,1.2968189589622006,0.4094127887724761,0.012876997057985198,0.0027656065517372014,0.32645346003499587,0.07984628462497947
32,1.3371292097490721,0.39687903225663035,0.013138532852560562,0.0020662532899697467,0.3343555981051064,0.07819647677723113
33,1.3761743498533978,0.38408754388391425,0.013330747945574335,0.0014919427548378342,0.34208906449728355,0.07647285106631116
34,1.4139320779508278,0.37111164492174814,0.013465299189349909,0.0010034012511456677,0.3496469650817944,0.07468516062390573
35,1.4503874785562048,0.35802392410783107,0.013548410534196444,0.0005406053058765806,0.3570233530854931,0.07284259945006794
36,1.4855323169095247,0.344883800804379,0.01358146909487742,7.452755035960296e-05,0.3642131740912053,0.0709538206641755
37,1.5193635673754862,0.331735730753758,0.01356493872272713,-0.0003825750141366463,0.37121221286251815,0.06902695476208226
38,1.5518822030919601,0.31861597433762806,0.01350152213370539,-0.000800862314959884,0.37801704199229036,0.06706962783336312
39,1.5830927557795869,0.3055602979964673,0.013396508496962186,-0.0011613951405249207,0.3846249723687612,0.0650889796960536
40,1.6130034422322352,0.292606901452401,0.013255992130529696,-0.0014674712556355524,0.3910340054490454,0.06309168190963058
41,1.6416263261864856,0.2797941425574249,0.013084921303128801,-0.0017366940774169101,0.397242787326036,0.061083955630182166
42,1.6689771386034846,0.26715639542435105,0.012886398026786124,-0.0019856472783913934,0.4032505645712835,0.05907158927476763
43,1.6950747455721196,0.2547215903494135,0.01266232398192284,-0.0022199991671041433,0.4090571418332658,0.05705995596487798
44,1.7199405107341936,0.2425117292436962,0.012414545699487904,-0.0024349349560934402,0.4146628411675938,0.05505403072168051
45,1.7435978100625282,0.23054528001322788,0.01214558598691326,-0.0026223930672369875,0.42006846307309603,0.05305840738836459
46,1.7660717922969704,0.21883944006977044,0.011858604209970784,-0.002778281275317117,0.42527524920538473,0.05107731525740983
47,1.7873893010795532,0.20741093568774754,0.011556839097739944,-0.0029050140244147107,0.4302848467374037,0.04911463538296952
48,1.8075788036396414,0.1962753517385905,0.011243045357099158,-0.003009133750324307,0.4350992743345928,0.04717391656081173
49,1.8266702195034934,0.18544592133155094,0.01091928951306844,-0.0030969493952006724,0.43972088971065265,0.04525839096038603
50,1.8446946449446886,0.17493278092318384,0.010587138713542749,-0.0031714884080689884,0.4441523587284515,0.04337098939559077
51,1.8616840450363903,0.1647431239984765,0.01024802139988646,-0.0032322819884215287,0.44839662600936653,0.04151435622271017
52,1.8776709953222595,0.15488200863595283,0.009903494039266273,-0.0032773309918268725,0.4524568870132907,0.03969086385577275
53,1.8926885115292778,0.14535323494140612,0.009555278528955772,-0.0033054603349904517,0.4563365615506422,0.03790262689125752
54,1.9067699498426722,0.13615981645294162,0.009205110776030659,-0.0033175344260088016,0.4600392686869874,0.03615151583564713
55,1.919948929251551,0.12730393521431033,0.0088545440046072,-0.0033161054940249526,0.4635688030003097,0.0344391704307989
56,1.9322592333443618,0.11878660470087898,0.008504839767754789,-0.0033041126014140866,0.46692911215052374,0.03276701257348125
57,1.943734678479349,0.110607378717044,0.008156993093114958,-0.0032836451037931286,0.47012427572053317,0.031136258826706984
58,1.9544089648323228,0.10276432958975301,0.00781184709073098,-0.0032554815006372896,0.47315848528795307,0.029547932521690665
59,1.9643155390181004,0.09525430257189833,0.007470211016094324,-0.003219479672619034,0.47603602568655584,0.028002875450365044
60,1.973487489052494,0.08807328732849784,0.007132915040062032,-0.0031753820032423864,0.4787612574165453,0.026501759149423713
61,1.9819574740031773,0.08121671477764542,0.00680078798204658,-0.0031234693560615555,0.48133860016290664,0.0250450957778033
62,1.989757675017041,0.07467957355561566,0.006474591970236093,-0.003064724811310881,0.48377251738131655,0.023633248590395343
63,1.9969197498635534,0.06845636632377017,0.006154964510089023,-0.0030005309414837256,0.48606750191141546,0.02226644201158275
64,2.0034747796432697,0.06254101050814079,0.00584240215983537,-0.00293218387820824,0.488228062577641,0.020944771312928618
65,2.009453207545575,0.056926793077809915,0.005537288217897021,-0.0028605435401713383,0.49025871173828833,0.019668211900017944
66,2.014884778014122,0.05160643078799179,0.00523994121921917,-0.0027859871715481457,0.49216395374399224,0.01843662821405941
67,2.0197984862452816,0.04657221364992666,0.004950654518509377,-0.0027086237792400616,0.4939482742674155,0.017249782254405082
68,2.0242225433186514,0.041816165202420735,0.004669708928751523,-0.0026285906605078412,0.4956161304665677,0.01610734172863931
69,2.0281843554599064,0.03733015634247566,0.004397359482513951,-0.002546248283634563,0.497171941944866,0.015008887837327178
70,2.0317105112742877,0.03310594738989979,0.004133811537455876,-0.0024621880939020204,0.4986200824717777,0.01395392270090599
71,2.034826770399038,0.029135176730210915,0.00387920393207581,-0.002377091001203445,0.4999648724286501,0.012941876436543601
72,2.037558050182512,0.025409338268553038,0.0036336089915027093,-0.0022915487079158033,0.5012105719451316,0.011972113893086618
73,2.0399284111764997,0.02191978521324275,0.0033970475988371277,-0.002205955829313105,0.5023613746924097,0.011043941052476833
74,2.041961044893484,0.0186577733172674,0.003169509498801625,-0.0021205180006813873,0.503421402300345,0.010156611106230836
75,2.0436782672926816,0.015614530408032453,0.0029509681382721706,-0.00203534737577119,0.5043946993664444,0.009309330215754866
76,2.0451015193901623,0.012781325728165838,0.002741384569579205,-0.0019505749681294152,0.5052852290255029,0.008501262965412142
77,2.0462513738330017,0.010149516805902297,0.002540702055559993,-0.001866415132278889,0.5060968690496419,0.007731537517368655
78,2.0471475447538157,0.007710567213966084,0.0023488377104938563,-0.0017831575182226875,0.5068334084493765,0.006999250477325003
79,2.0478088983575637,0.00545604464272491,0.0021656777350533554,-0.0017011068101412388,0.5074985445472574,0.006303471480291223
80,2.0482534630713545,0.0033776163103324047,0.0019910793863474776,-0.0016205148791086227,0.5080958804965513,0.005643247505587945
81,2.0484984397005848,0.0014670554804474285,0.001824878405097198,-0.0015415447814512203,0.5086289232183434,0.005017606930255037
82,2.0485602129551546,-0.00028373719743550897,0.0016668978261337106,-0.00146428039481232,0.5091010817313576,0.004425563330027386
83,2.0484543655833196,-0.0018827037590043879,0.0015169541128595499,-0.0013887676638985593,0.5095156658497085,0.0038661190369914064
84,2.0481956954689187,-0.003337601073041938,0.0013748587887540999,-0.001315059028432074,0.5098758852247068,0.0033382684629743426
85,2.0477982350537345,-0.004655983364409031,0.0012404165129014466,-0.001243236677201713,0.5101848487077373,0.0028410011976335785
86,2.047275271912944,-0.005845196932215524,0.0011134222379152311,-0.0011734067831044924,0.5104455640121248,0.0023733048901176316
87,2.046639369441734,-0.0069123826702750125,0.0009936599973472484,-0.0011056742850096206,0.5106609376527834,0.0019341679230556721
88,2.045902387205093,-0.007864479386609726,0.0008809044091754746,-0.0010401164358527079,0.5108337751433115,0.0015225818875069556
89,2.0450755011476858,-0.008708222606616918,0.0007749242263965425,-0.000976770308341244,0.5109667814310549,0.0011375438673611386
90,2.0441692241993135,-0.009450137744559947,0.0006754862314822389,-0.0009156387558465953,0.5110625615514997,0.0007780585415326318
91,2.04319342772538,-0.010096530445971037,0.000582357876593022,-0.000856708335080911,0.5111236214841828,0.00044314011213018135
92,2.042157363897807,-0.010653478461465419,0.0004953080295487187,-0.0007999674510877834,0.51115236919312,0.0001318140666158134
93,2.0410696886662203,-0.011126828234831115,0.00041410630338489644,-0.0007454151881993651,0.5111511158355404,-0.00015688121820835906
94,2.039938484816592,-0.011522196665679997,0.0003385220834966341,-0.0006930582534173673,0.5111220771234934,-0.00042389302273126045
95,2.0387712846836954,-0.011844976034412567,0.0002683242699708877,-0.0006429004392086586,0.5110673748236513,-0.0006701529741136986
96,2.037575092341403,-0.012100339156553872,0.0002032821219884573,-0.0005949322027139961,0.5109890383813633,-0.0008965758716464312
97,2.036356405358567,-0.012293242661187394,0.00014316687628295648,-0.0005491263708557996,0.5108890066557408,-0.0011040586408070335
98,2.035121236336241,-0.012428428068024305,8.775341940009782e-05,-0.0005054414272241184,0.5107691297532434,-0.0012934794091400072
99,2.0338751343945294,-0.012510421910883952,3.682137423030216e-05,-0.00046382938792602824,0.5106311709479221,-0.001465696697285589
